x_m,x_mm,step_1_t_30_s,step_10_t_300_s,step_20_t_600_s,step_80_t_2400_s,step_300_t_9000_s
0.0,0.0,0.019999409272677106,0.019997506975912346,0.019996366994646797,0.019992465888329664,0.019982961999267697
3.3444816053511705e-05,0.033444816053511704,0.01905911988291613,0.019771940520722255,0.019839664027360777,0.019912680346074088,0.019916149837276055
6.688963210702341e-05,0.06688963210702341,0.018118830493155158,0.019546374065532172,0.019682961060074767,0.019832894803818512,0.01984933767528442
0.00010033444816053512,0.10033444816053512,0.017178541103394184,0.019320807610342085,0.019526258092788747,0.019753109261562936,0.019782525513292785
0.00013377926421404682,0.13377926421404682,0.01623825171363321,0.019095241155151998,0.01936955512550273,0.01967332371930736,0.019715713351301144
0.00016722408026755852,0.16722408026755853,0.015297962323872233,0.01886967469996191,0.019212852158216713,0.019593538177051784,0.01964890118930951
0.00020066889632107025,0.20066889632107024,0.014357672934111259,0.018644108244771824,0.0190561491909307,0.019513752634796207,0.01958208902731787
0.00023411371237458194,0.23411371237458195,0.013417383544350285,0.018418541789581737,0.01889944622364468,0.01943396709254063,0.019515276865326232
0.00026755852842809364,0.26755852842809363,0.01247709415458931,0.018192975334391646,0.018742743256358663,0.019354181550285055,0.019448464703334594
0.00030100334448160534,0.3010033444816053,0.011536804764828337,0.017967408879201566,0.01858604028907265,0.01927439600802948,0.019381652541342956
0.00033444816053511704,0.33444816053511706,0.010867594720056807,0.01774461814844287,0.018430232348409462,0.019194691454727075,0.019314839612306407
0.00036789297658862874,0.36789297658862874,0.010340378617898792,0.017523281368576803,0.018274893231215374,0.019115029324209654,0.01924802628148442
0.0004013377926421405,0.4013377926421405,0.00981316251574078,0.017301944588710736,0.01811955411402128,0.019035367193692237,0.01918121295066243
0.0004347826086956522,0.4347826086956522,0.009285946413582765,0.01708060780884467,0.017964214996827196,0.01895570506317482,0.019114399619840447
0.0004682274247491639,0.4682274247491639,0.008758730311424748,0.016859271028978606,0.017808875879633104,0.0188760429326574,0.01904758628901846
0.0005016722408026755,0.5016722408026756,0.008231514209266738,0.016637934249112543,0.01765353676243902,0.018796380802139984,0.018980772958196477
0.0005351170568561873,0.5351170568561873,0.007704298107108722,0.016416597469246477,0.017498197645244934,0.018716718671622563,0.01891395962737449
0.000568561872909699,0.5685618729096991,0.007177082004950706,0.01619526068938041,0.017342858528050842,0.018637056541105146,0.018847146296552503
0.0006020066889632107,0.6020066889632106,0.006649865902792692,0.01597392390951434,0.017187519410856753,0.01855739441058773,0.018780332965730517
0.0006354515050167224,0.6354515050167224,0.0061950274137990815,0.015755149593886852,0.017033022040799633,0.018477809576217932,0.018713519360508926
0.0006688963210702341,0.6688963210702341,0.005899419673767151,0.015542012699584223,0.01688037651444382,0.01839839479337289,0.018646705151608177
0.0007023411371237458,0.7023411371237458,0.005603811933735221,0.015328875805281592,0.01672773098808801,0.018318980010527848,0.018579890942707428
0.0007357859531772575,0.7357859531772575,0.005308204193703291,0.015115738910978962,0.0165750854617322,0.018239565227682806,0.01851307673380668
0.0007692307692307692,0.7692307692307693,0.005012596453671359,0.014902602016676328,0.016422439935376388,0.01816015044483776,0.01844626252490593
0.000802675585284281,0.802675585284281,0.004716988713639431,0.0146894651223737,0.016269794409020582,0.01808073566199272,0.018379448316005187
0.0008361204013377926,0.8361204013377926,0.004421380973607501,0.014476328228071069,0.016117148882664772,0.01800132087914768,0.018312634107104438
0.0008695652173913044,0.8695652173913044,0.00412577323357557,0.014263191333768438,0.015964503356308963,0.017921906096302637,0.01824581989820369
0.000903010033444816,0.903010033444816,0.0038301654935436395,0.014050054439465807,0.01581185782995315,0.017842491313457595,0.018179005689302943
