time_s,C1(mol/m^3),C2(mol/m^3),J1(mol/s),J2(mol/s),J_left_2D(mol/(m s)),J_right_2D(mol/(m s)),J_left_total(mol/s),J_right_total(mol/s),Int_C_domain(mol),balance(mol),target(mol),residual(mol),relative_residual
300.0,0.0199975069800956,5.15406582374866e-10,-1.1802217251117437e-12,1.8715903565054717e-15,-2.3604434502234873e-10,3.7431807130109434e-13,-1.1802217251117437e-12,1.8715903565054717e-15,1.9309708659795825e-09,5.001307844741526e-06,5e-06,1.3078447415252172e-09,0.00026156894830504343
330.0,0.019997372380301116,8.596057051028162e-10,-1.1216649540173805e-12,2.8683260227329184e-15,-2.243329908034761e-10,5.736652045465837e-13,-1.1216649540173805e-12,2.8683260227329184e-15,2.0271480565024947e-09,5.001370458033207e-06,5e-06,1.3704580332069593e-09,0.00027409160664139187
360.0,0.01999724385662588,1.3616464011107998e-09,-1.071030626963532e-12,4.1836724667331976e-15,-2.142061253927064e-10,8.367344933466396e-13,-1.071030626963532e-12,4.1836724667331976e-15,2.1188367333648187e-09,5.001430141301435e-06,5e-06,1.4301413014349538e-09,0.00028602826028699077
390.0,0.019997120654896575,2.063776642985087e-09,-1.026681077565245e-12,5.851085348952394e-15,-2.05336215513049e-10,1.1702170697904787e-12,-1.026681077565245e-12,5.851085348952394e-15,2.2065532607665835e-09,5.001487232929071e-06,5e-06,1.4872329290708012e-09,0.00029744658581416024
420.0,0.019997002164958807,3.0110647109090192e-09,-9.874161480718927e-13,7.894067232699434e-15,-1.9748322961437855e-10,1.5788134465398867e-12,-9.874161480718927e-13,7.894067232699434e-15,2.290707018906155e-09,5.0015420010247856e-06,5e-06,1.542001024785142e-09,0.0003084002049570284
450.0,0.019996887884921613,4.250150623668981e-09,-9.523336432668546e-13,1.0325715939666351e-14,-1.904667286533709e-10,2.0651431879332702e-12,-9.523336432668546e-13,1.0325715939666351e-14,2.371627486622771e-09,5.001594661254682e-06,5e-06,1.5946612546817603e-09,0.00031893225093635206
480.0,0.019996777396054176,5.828042850056442e-09,-9.207405619943724e-13,1.3149101886562176e-14,-1.8414811239887448e-10,2.629820377312435e-12,-9.207405619943724e-13,1.3149101886562176e-14,2.4495834495096457e-09,5.001645389473766e-06,5e-06,1.6453894737653474e-09,0.0003290778947530695
510.0,0.01999667034469804,7.791031313884177e-09,-8.92094634449132e-13,1.6358237198564457e-14,-1.784189268898264e-10,3.2716474397128913e-12,-8.92094634449132e-13,1.6358237198564457e-14,2.5247969749128657e-09,5.0016943309072505e-06,5e-06,1.6943309072501022e-09,0.0003388661814500204
540.0,0.0199965664289392,1.0183759775203701e-08,-8.659646569721889e-13,1.993940384432936e-14,-1.7319293139443778e-10,3.987880768865872e-12,-8.659646569721889e-13,1.993940384432936e-14,2.5974537869308573e-09,5.001741606961675e-06,5e-06,1.7416069616744793e-09,0.0003483213923348958
570.0,0.019996465388593773,1.3048476932325767e-08,-8.420028785907844e-13,2.3872642976017228e-14,-1.6840057571815687e-10,4.774528595203446e-12,-8.420028785907844e-13,2.3872642976017228e-14,2.667711091199143e-09,5.001787320358876e-06,5e-06,1.7873203588754562e-09,0.0003574640717750912
600.0,0.019996366997552993,1.642446751711189e-08,-8.199253398262986e-13,2.8133254873217667e-14,-1.6398506796525972e-10,5.6266509746435334e-12,-8.199253398262986e-13,2.8133254873217667e-14,2.7357035486318874e-09,5.001831559053759e-06,5e-06,1.8315590537590118e-09,0.0003663118107518023
630.0,0.019996271057841852,2.03476522740216e-08,-7.994975928200239e-13,3.2693206307580894e-14,-1.5989951856400478e-10,6.538641261516178e-12,-7.994975928200239e-13,3.2693206307580894e-14,2.8015478788521696e-09,5.001874399252384e-06,5e-06,1.8743992523835505e-09,0.00037487985047671005
660.0,0.01999617739494443,2.4850338257160668e-08,-7.805241451532469e-13,3.752238319282556e-14,-1.561048290306494e-10,7.504476638565111e-12,-7.805241451532469e-13,3.752238319282556e-14,2.8653464332125725e-09,5.001915907753885e-06,5e-06,1.9159077538848752e-09,0.000383181550776975
690.0,0.01999608585408059,2.9961097275840806e-08,-7.628405320328464e-13,4.2589658489001165e-14,-1.5256810640656928e-10,8.517931697800233e-12,-7.628405320328464e-13,4.2589658489001165e-14,2.927189983520843e-09,5.001956143777988e-06,5e-06,1.9561437779878874e-09,0.00039122875559757743
720.0,0.01999599629720735,3.570474948252407e-08,-7.463072770189562e-13,4.7863768389027204e-14,-1.4926145540379124e-10,9.572753677805441e-12,-7.463072770189562e-13,4.7863768389027204e-14,2.9871599082156602e-09,5.001995160397424e-06,5e-06,1.9951603974240046e-09,0.00039903207948480086
750.0,0.01999590860057955,4.210243008284634e-08,-7.308052316493633e-13,5.3314005002685624e-14,-1.4616104632987266e-10,1.0662801000537124e-11,-7.308052316493633e-13,5.3314005002685624e-14,3.0453299123445732e-09,5.002033005664753e-06,5e-06,2.033005664752642e-09,0.0004066011329505284
780.0,0.01999582265274716,4.917171920865113e-08,-7.162319365778165e-13,5.891074271503994e-14,-1.432463873155633e-10,1.1782148543007987e-11,-7.162319365778165e-13,5.891074271503994e-14,3.1017673849205125e-09,5.002069723501513e-06,5e-06,2.0697235015128745e-09,0.00041394470030257485
810.0,0.01999573835289721,5.692681758315355e-08,-7.024987495395634e-13,6.462581978752007e-14,-1.4049974990791267e-10,1.2925163957504014e-11,-7.024987495395634e-13,6.462581978752007e-14,3.156534473093349e-09,5.002105354401792e-06,5e-06,2.1053544017918702e-09,0.000421070880358374
840.0,0.019995655609470496,6.537875334633652e-08,-6.895285559571955e-13,7.043279802652487e-14,-1.379057111914391e-10,1.4086559605304974e-11,-6.895285559571955e-13,7.043279802652487e-14,3.20968893450442e-09,5.002139935990465e-06,5e-06,2.1399359904644976e-09,0.00042798719809289946
870.0,0.019995574338999234,7.453560805891652e-08,-6.772539271846394e-13,7.630712260483341e-14,-1.3545078543692788e-10,1.5261424520966682e-11,-6.772539271846394e-13,7.630712260483341e-14,3.261284815492622e-09,5.002173503467316e-06,5e-06,2.1735034673155685e-09,0.00043470069346311364
900.0,0.019995494465124088,8.440275232649432e-08,-6.656156262123842e-13,8.222620222981494e-14,-1.3312312524247684e-10,1.644524044596299e-11,-6.656156262123842e-13,8.222620222981494e-14,3.311372992330235e-09,5.002206089961435e-06,5e-06,2.2060899614341885e-09,0.00044121799228683765
930.0,0.019995415917757806,9.49830836145919e-08,-6.545613856527883e-13,8.816942740081301e-14,-1.3091227713055767e-10,1.7633885480162602e-11,-6.545613856527883e-13,8.816942740081301e-14,3.3600016045726177e-09,5.002237726814927e-06,5e-06,2.2377268149265954e-09,0.00044754536298531903
960.0,0.019995338632369693,1.0627726063988857e-07,-6.440449009904799e-13,9.411814187747232e-14,-1.2880898019809598e-10,1.8823628375494464e-11,-6.440449009904799e-13,9.411814187747232e-14,3.407216403324402e-09,5.002268443810908e-06,5e-06,2.2684438109077826e-09,0.00045368876218155647
990.0,0.019995262549370237,1.1828393023190582e-07,-6.340249954392714e-13,1.0005557993347693e-13,-1.2680499908785427e-10,2.0011115986695386e-11,-6.340249954392714e-13,1.0005557993347693e-13,3.453061032329968e-09,5.002298269357447e-06,5e-06,2.298269357446562e-09,0.0004596538714893123
1020.0,0.019995187613579518,1.3099994378785676e-07,-6.244649226721578e-13,1.0596677963292444e-13,-1.2489298453443156e-10,2.119335592658489e-11,-6.244649226721578e-13,1.0596677963292444e-13,3.4975772559689574e-09,5.002327230636796e-06,5e-06,2.3272306367958282e-09,0.0004654461273591656
1050.0,0.019995113773765782,1.4442056142442678e-07,-6.153317811398999e-13,1.1183848030475006e-13,-1.2306635622797998e-10,2.2367696060950012e-11,-6.153317811398999e-13,1.1183848030475006e-13,3.54080514523885e-09,5.0023553537270405e-06,5e-06,2.3553537270400434e-09,0.0004710707454080086
1080.0,0.01999504098224346,1.5853964269927084e-07,-6.065960193352941e-13,1.1765901062370063e-13,-1.2131920386705882e-10,2.3531802124740127e-11,-6.065960193352941e-13,1.1765901062370063e-13,3.5827832304530663e-09,5.002382663701993e-06,5e-06,2.382663701992608e-09,0.0004765327403985215
1110.0,0.01999496919452158,1.7334982336639767e-07,-5.982310156701483e-13,1.2341817222605686e-13,-1.1964620313402966e-10,2.4683634445211372e-11,-5.982310156701483e-13,1.2341817222605686e-13,3.6235486275329544e-09,5.002409184713769e-06,5e-06,2.4091847137688676e-09,0.00048183694275377346
1140.0,0.01999489836899519,1.8884267807491415e-07,-5.902127199503302e-13,1.291071225709703e-13,-1.1804254399006603e-10,2.582142451419406e-11,-5.902127199503302e-13,1.291071225709703e-13,3.663137143317289e-09,5.002434940061633e-06,5e-06,2.434940061632952e-09,0.0004869880123265903
1170.0,0.019994828466673668,2.0500886924769306e-07,-5.825193460086815e-13,1.3471825977315762e-13,-1.165038692017363e-10,2.6943651954631526e-11,-5.825193460086815e-13,1.3471825977315762e-13,3.701583364167308e-09,5.002459952249896e-06,5e-06,2.4599522498958636e-09,0.0004919904499791727
1200.0,0.019994759450940817,2.2183828260932958e-07,-5.751311070667854e-13,1.4024511134697113e-13,-1.1502622141335708e-10,2.8049022269394224e-11,-5.751311070667854e-13,1.4024511134697113e-13,3.738920731243245e-09,5.0024842430371e-06,5e-06,2.4842430370992943e-09,0.0004968486074198588
1230.0,0.01999469128734238,2.393201499913859e-07,-5.680299869781099e-13,1.4568222818380234e-13,-1.1360599739562197e-10,2.913644563676047e-11,-5.680299869781099e-13,1.4568222818380234e-13,3.7751816051180525e-09,5.002507833478211e-06,5e-06,2.5078334782105703e-09,0.0005015666956421141
1260.0,0.019994623943397374,2.5744316014402205e-07,-5.611995417569079e-13,1.5102508460530114e-13,-1.1223990835138158e-10,3.0205016921060226e-11,-5.611995417569079e-13,1.5102508460530114e-13,3.810397321833449e-09,5.002530743961213e-06,5e-06,2.530743961212782e-09,0.0005061487922425564
